Lat,Long,City,Temperature,Humidity,Clouds,Wind Speed
36.84003020228995,-138.32665499512603,fortuna,54.4,100,92,22.73
19.417283807877823,-168.86657590883217,kapaa,76.45,100,56,18.81
-37.299820801278116,-18.049730955520886,jamestown,69.07,98,92,7.18
79.27886035558458,-83.41855985328722,qaanaaq,-30.2,49,24,2.15
62.56062971937183,147.22247218400827,myaundzha,-7.07,68,64,3.15
-76.18311295976412,92.29386515779225,busselton,-66.83,0,24,4.16
75.65548238920292,-118.72180832102211,norman wells,-33.98,62,48,5.73
-8.6176557744527,19.53060152775734,lucapa,86.53,46,0,4.27
76.93171396456873,-7.759768403514414,husavik,6.43,100,12,19.82
-28.76803086121238,69.45212127997826,bambous virieux,73.75,100,100,33.91
-54.92101163071939,23.233077415769003,bredasdorp,34.96,99,88,14.67
49.01984197418875,-1.5327517318170294,coutances,48.85,81,20,18.34
34.59436848134993,31.153581604523225,chlorakas,63.22,97,0,13.89
23.304192293757765,-133.91521612519614,lompoc,67.72,100,92,3.71
-28.018325437171768,11.078889406607402,luderitz,68.8,100,80,16.35
-28.260700643349963,-103.51707029087135,puerto ayora,75.55,100,36,9.75
-30.98752248490247,103.4368297415275,geraldton,67.27,100,92,6.51
86.48974649061361,54.792871032530115,belushya guba,-10.4,73,56,9.19
24.596892946012616,-2.2856443366765973,taoudenni,88.42,25,0,8.19
26.513871642388878,6.277506115817488,gat,83.65,19,0,5.73
44.277630050116926,170.77424038390063,nikolskoye,38.74,100,92,21.05
-54.443125495215334,86.33535982167984,busselton,39.01,100,64,25.97
-85.5487563209264,-135.59345938656116,rikitea,-30.29,39,68,4.16
-86.70634284810436,128.87896149443156,new norfolk,-53.87,0,24,24.29
-23.978225198622283,152.64218236025903,bundaberg,76.72,100,92,30.22
41.059426760422355,104.08756580900626,shitanjing,18.22,49,0,3.04
79.19036235712252,147.66858489684859,chokurdakh,-26.24,42,20,5.17
-87.33932517416177,-45.43446009515489,ushuaia,-33.8,44,24,10.09
-46.22884379605774,-129.242873069639,rikitea,51.61,99,92,9.53
-53.05449471915493,151.13494612844312,hobart,47.2,100,36,36.48
79.83964137360263,-35.33377800490109,tasiilaq,-37.4,0,0,8.41
-38.282391037483706,-122.34210377175395,rikitea,62.5,100,64,16.02
40.85810589043783,-18.525453864591697,vila franca do campo,60.52,94,92,23.62
-33.13536035809833,-85.94794072323893,lebu,67.99,100,0,6.17
67.77873865611775,16.788501207462133,kjopsvik,4.99,86,0,3.71
56.69551674752461,128.51148372823678,chagda,-23.36,30,24,2.48
-89.77976372580186,-74.43587864796861,ushuaia,-45.77,0,24,13.67
77.07817635796653,-175.68906680792477,mys shmidta,-1.67,83,76,36.82
57.45891042273803,17.308355577685006,vastervik,32.0,100,20,12.75
-46.93690449567615,24.268981184749123,plettenberg bay,43.87,100,92,13.78
81.40781569694545,83.35007136837885,dikson,-7.34,79,48,1.14
16.953063290156862,36.785449830517905,wagar,96.34,21,0,14.12
-46.50356819506595,128.08933649550454,esperance,54.85,91,92,19.82
76.1369955875613,-47.65777964981541,ilulissat,-32.0,41,24,12.66
1.70043926401776,109.3131254815417,pemangkat,78.7,100,92,2.93
55.51698270513896,-62.58046337757449,havre-saint-pierre,16.24,86,0,3.94
-32.30270547272512,87.3198719601072,carnarvon,66.55,100,8,19.04
14.756784786278303,30.483809242004952,bara,97.33,11,0,5.84
-84.93321150952752,-31.070578260186892,ushuaia,-22.19,49,44,16.46
6.196827003978285,163.2781440574588,butaritari,82.21,100,80,10.2
46.62407590333737,106.82193440096819,mandalgovi,16.69,74,0,12.44
19.914717684721396,132.35234502914722,nishihara,77.08,100,76,5.17
77.76665160540884,-77.76618155885326,qaanaaq,-16.16,91,32,4.94
4.696615992611584,-46.0623133948161,amapa,80.95,98,36,19.48
52.475097773164464,-12.401614997109476,dingle,44.5,100,68,14.45
19.02924981066876,124.81192606164518,san vicente,76.45,100,32,13.56
87.48809144872146,-30.604055235824376,illoqqortoormiut,6.52,82,76,13.67
-16.534999778191462,134.47321614498134,ngukurr,72.67,99,100,9.31
-70.27131499245326,117.1722718603769,albany,-37.49,0,12,7.96
-54.879872146784365,-121.71289622435249,rikitea,44.23,93,92,28.77
-35.049169189774105,95.72177586088668,busselton,62.14,100,0,9.86
-12.34339165168808,-156.41677705199163,faanui,80.68,100,36,14.9
-8.020007877507751,-145.91775917038143,atuona,81.58,100,76,17.25
32.83528534084935,126.83157105958219,fukue,54.4,100,92,23.96
27.780660662648472,89.8182329363512,punakha,38.56,60,0,1.7
-42.46088805684039,-170.08618778315278,vaini,65.83,95,76,16.02
-56.036731313135405,177.15448963874007,dunedin,45.67,99,80,27.42
-71.85713330977832,103.50125618020206,albany,-57.92,0,0,15.23
-84.441426912647,142.97757838198117,hobart,-51.08,0,0,23.29
-37.090525351859995,-171.49749423001867,vaini,69.25,100,92,20.04
27.126916848092364,160.14588503199417,hasaki,69.61,99,24,26.31
-54.495672723029834,114.12202017711206,albany,41.17,97,88,22.06
-33.89080819831959,172.65273973509267,ahipara,70.6,100,56,29.77
-84.34002052777727,133.00230643317235,hobart,-54.05,0,8,24.29
-56.97054341522917,165.3832741273888,bluff,46.12,100,92,36.04
16.5243164722759,152.38434442882385,kavieng,77.89,100,76,11.43
-50.48291655196005,167.06213162101056,bluff,52.33,100,64,27.09
62.65842443843016,101.45405405660654,tura,4.18,77,68,5.73
31.17294292163895,-153.23143791881745,kailua,60.25,100,36,25.08
79.17885296243512,-3.8030352660092603,klaksvik,-4.82,83,32,9.98
